Topic,Question,Difficulty,Link
Arrays & Strings,Two Sum,Easy,https://leetcode.com/problems/two-sum/
Arrays & Strings,Longest Substring Without Repeating Characters,Medium,https://leetcode.com/problems/longest-substring-without-repeating-characters/
Arrays & Strings,3Sum,Medium,https://leetcode.com/problems/3sum/
Arrays & Strings,Sliding Window Maximum,Hard,https://leetcode.com/problems/sliding-window-maximum/
Arrays & Strings,Longest Repeating Character Replacement,Medium,https://leetcode.com/problems/longest-repeating-character-replacement/
Arrays & Strings,Subarray Sum Equals K,Medium,https://leetcode.com/problems/subarray-sum-equals-k/
Arrays & Strings,Minimum Window Substring,Hard,https://leetcode.com/problems/minimum-window-substring/
Arrays & Strings,Top K Frequent Elements,Medium,https://leetcode.com/problems/top-k-frequent-elements/
Recursion & Backtracking,Permutations,Medium,https://leetcode.com/problems/permutations/
Recursion & Backtracking,Combinations,Medium,https://leetcode.com/problems/combinations/
Recursion & Backtracking,N-Queens,Hard,https://leetcode.com/problems/n-queens/
Recursion & Backtracking,Generate Parentheses,Medium,https://leetcode.com/problems/generate-parentheses/
Recursion & Backtracking,Combination Sum,Medium,https://leetcode.com/problems/combination-sum/
Recursion & Backtracking,Letter Combinations of a Phone Number,Medium,https://leetcode.com/problems/letter-combinations-of-a-phone-number/
Recursion & Backtracking,Palindrome Partitioning,Medium,https://leetcode.com/problems/palindrome-partitioning/
Recursion & Backtracking,Subsets,Medium,https://leetcode.com/problems/subsets/
Binary Search & D&C,Binary Search,Easy,https://leetcode.com/problems/binary-search/
Binary Search & D&C,Search in Rotated Sorted Array,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array/
Binary Search & D&C,Find Minimum in Rotated Sorted Array,Medium,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
Binary Search & D&C,Find Peak Element,Medium,https://leetcode.com/problems/find-peak-element/
Binary Search & D&C,Koko Eating Bananas,Medium,https://leetcode.com/problems/koko-eating-bananas/
Binary Search & D&C,Split Array Largest Sum,Hard,https://leetcode.com/problems/split-array-largest-sum/
Binary Search & D&C,Search a 2D Matrix II,Medium,https://leetcode.com/problems/search-a-2d-matrix-ii/
Binary Search & D&C,Median of Two Sorted Arrays,Hard,https://leetcode.com/problems/median-of-two-sorted-arrays/
LinkedLists-Stacks-Queues,Reverse Linked List,Easy,https://leetcode.com/problems/reverse-linked-list/
LinkedLists-Stacks-Queues,Linked List Cycle,Easy,https://leetcode.com/problems/linked-list-cycle/
LinkedLists-Stacks-Queues,Reverse Nodes in k-Group,Hard,https://leetcode.com/problems/reverse-nodes-in-k-group/
LinkedLists-Stacks-Queues,Merge Two Sorted Lists,Easy,https://leetcode.com/problems/merge-two-sorted-lists/
LinkedLists-Stacks-Queues,Merge k Sorted Lists,Hard,https://leetcode.com/problems/merge-k-sorted-lists/
LinkedLists-Stacks-Queues,Min Stack,Medium,https://leetcode.com/problems/min-stack/
LinkedLists-Stacks-Queues,Daily Temperatures,Medium,https://leetcode.com/problems/daily-temperatures/
LinkedLists-Stacks-Queues,Car Fleet,Medium,https://leetcode.com/problems/car-fleet/
Queue,Implement Queue using Stacks,Easy,https://leetcode.com/problems/implement-queue-using-stacks/
Queue,Design Circular Queue,Medium,https://leetcode.com/problems/design-circular-queue/
Queue,Sliding Window Maximum,Hard,https://leetcode.com/problems/sliding-window-maximum/
Queue,Shortest Subarray with Sum at Least K,Hard,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k/
Queue,Constrained Subsequence Sum,Hard,https://leetcode.com/problems/constrained-subsequence-sum/
Trees & BSTs,Binary Tree Inorder Traversal,Easy,https://leetcode.com/problems/binary-tree-inorder-traversal/
Trees & BSTs,Binary Tree Level Order Traversal,Medium,https://leetcode.com/problems/binary-tree-level-order-traversal/
Trees & BSTs,Construct Binary Tree from Preorder and Inorder Traversal,Medium,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/
Trees & BSTs,Invert Binary Tree,Easy,https://leetcode.com/problems/invert-binary-tree/
Trees & BSTs,Binary Tree Maximum Path Sum,Hard,https://leetcode.com/problems/binary-tree-maximum-path-sum/
Trees & BSTs,Lowest Common Ancestor of a BST,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-bst/
Trees & BSTs,Serialize and Deserialize Binary Tree,Hard,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/
Trees & BSTs,Kth Smallest Element in a BST,Medium,https://leetcode.com/problems/kth-smallest-element-in-a-bst/
Graphs,Number of Islands,Medium,https://leetcode.com/problems/number-of-islands/
Graphs,Course Schedule,Medium,https://leetcode.com/problems/course-schedule/
Graphs,Max Area of Island,Medium,https://leetcode.com/problems/max-area-of-island/
Graphs,Clone Graph,Medium,https://leetcode.com/problems/clone-graph/
Graphs,The K Weakest Rows in a Matrix,Easy,https://leetcode.com/problems/the-k-weakest-rows-in-a-matrix/
Graphs,Redundant Connection,Medium,https://leetcode.com/problems/redundant-connection/
Graphs,Rotting Oranges,Medium,https://leetcode.com/problems/rotting-oranges/
Graphs,Graph Valid Tree,Medium,https://leetcode.com/problems/graph-valid-tree/
Heaps-Greedy-BitMath,Kth Largest Element in a Stream,Easy,https://leetcode.com/problems/kth-largest-element-in-a-stream/
Heaps-Greedy-BitMath,Kth Largest Element in an Array,Medium,https://leetcode.com/problems/kth-largest-element-in-an-array/
Heaps-Greedy-BitMath,Course Schedule III,Hard,https://leetcode.com/problems/course-schedule-iii/
Heaps-Greedy-BitMath,Find Median from Data Stream,Hard,https://leetcode.com/problems/find-median-from-data-stream/
Heaps-Greedy-BitMath,Meeting Rooms II,Medium,https://leetcode.com/problems/meeting-rooms-ii/
Heaps-Greedy-BitMath,Non-overlapping Intervals,Medium,https://leetcode.com/problems/non-overlapping-intervals/
Heaps-Greedy-BitMath,Jump Game,Medium,https://leetcode.com/problems/jump-game/
Heaps-Greedy-BitMath,Number of 1 Bits,Easy,https://leetcode.com/problems/number-of-1-bits/
Heaps-Greedy-BitMath,Reverse Bits,Easy,https://leetcode.com/problems/reverse-bits/