Topic,Question,Difficulty,Link
Shortest Path,Shortest Path Algorithms,,https://www.geeksforgeeks.org/shortest-path-algorithms/
BFS Application,Snakes and Ladders,,https://leetcode.com/problems/snakes-and-ladders/
Dijkstra,Dijkstra's Algorithm Intuition,,https://www.geeksforgeeks.org/problems/implementing-dijkstra-set-1-adjacency-matrix/1
Dijkstra,Dijkstra's Algorithm Code,Medium,https://leetcode.com/problems/network-delay-time/
Path Finding,Path With Minimum Effort,Medium,https://leetcode.com/problems/path-with-minimum-effort/
Shortest Path,Cheapest Flights Within K Stops,Medium,https://leetcode.com/problems/cheapest-flights-within-k-stops/
Bellman-Ford,Bellman-Ford Algorithm Part 1,,https://www.geeksforgeeks.org/bellman-ford-algorithm-dp-23/
Bellman-Ford,Bellman-Ford Algorithm Code,Medium,https://www.geeksforgeeks.org/bellman-ford-algorithm-dp-23/
Floyd-Warshall,Floyd-Warshall Algorithm,,https://www.geeksforgeeks.org/floyd-warshall-algorithm-dp-16/
DSU,Disjoint Union Set Introduction,,https://www.geeksforgeeks.org/disjoint-set-data-structures/
DSU,DSU Optimization Techniques,,https://www.geeksforgeeks.org/disjoint-set-union-find-algorithm-union-rank/